name,PZ,TZ
voco,0.47894395192464195 ± 0.1990161026110881,0.6701886981725693 ± 0.21189168262951907
univ_unet,0.6062411614693701 ± 0.21570668100114412,0.7708402062455814 ± 0.1981297455951703
sup_unet,0.6221393565569694 ± 0.18446413210944626,0.8032482524712881 ± 0.13210627939138025
sup_swin,0.5258459447262188 ± 0.22495023617710744,0.710177831693242 ± 0.25863141087640007
genesis,0.5908130764961242 ± 0.18674064734181667,0.780392680844913 ± 0.1926036180660648
tang,0.4787887531022231 ± 0.19408357434731094,0.707423421740532 ± 0.20799162667142831
univ_swin,0.499517055383573 ± 0.19315550799723655,0.7277568752566973 ± 0.2063202513408202
sup_seg,0.6312109178242584 ± 0.18611937710615659,0.821744500597318 ± 0.11875201231331628
