name,PZ,TZ
voco,0.3306405593579867 ± 0.14266853918020794,0.2800285244812165 ± 0.10892277572541227
univ_unet,0.5072849087136527 ± 0.16583709874730676,0.435622299378167 ± 0.12774602229951923
sup_unet,0.5317847266010138 ± 0.1367758036352732,0.46732652580316214 ± 0.1049958519969889
sup_swin,0.41335956235643045 ± 0.17514451788044802,0.35903666446823895 ± 0.1504300550761434
genesis,0.4866310294963743 ± 0.1376936548632959,0.43738357214867557 ± 0.13175501581402066
tang,0.35824829932859886 ± 0.13811671423944322,0.3188124806285824 ± 0.11775050745905258
univ_swin,0.38032106954035627 ± 0.14357080289727242,0.334479511206494 ± 0.13464972050006016
sup_seg,0.5176064957995996 ± 0.12947212681707068,0.4760843963724578 ± 0.08515578310179503
